line_no	name	outcome	classification	disposition	documentation_url	observed_reason	command	status_source	classification_source
736	landlock07	TFAIL	kernel_regression	requires_kernel_fix_or_backport	https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=39705a6c29f8	landlock07.c:59: TFAIL: open("/dev/null", O_WRONLY) invalid retval 4: SUCCESS (0)	landlock07 landlock07	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
737	landlock08	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/userspace-api/landlock.html	landlock08.c:187: TCONF: Landlock network is not supported	landlock08 landlock08	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
738	landlock09	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/userspace-api/landlock.html	landlock09.c:113: TCONF: LANDLOCK_SCOPE_ABSTRACT_UNIX_SOCKET is unsupported on ABI < 6	landlock09 landlock09	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
739	landlock10	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/userspace-api/landlock.html	landlock10.c:90: TCONF: LANDLOCK_SCOPE_SIGNAL is unsupported on ABI < 6	landlock10 landlock10	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
760	listmount01	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.8 or newer	listmount01 listmount01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
761	listmount02	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.8 or newer	listmount02 listmount02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
762	listmount03	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.8 or newer	listmount03 listmount03	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
763	listmount04	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.11 or newer	listmount04 listmount04	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
785	lsm_get_self_attr01	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.8 or newer	lsm_get_self_attr01 lsm_get_self_attr01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
786	lsm_get_self_attr02	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.8 or newer	lsm_get_self_attr02 lsm_get_self_attr02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
787	lsm_get_self_attr03	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.8 or newer	lsm_get_self_attr03 lsm_get_self_attr03	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
788	lsm_list_modules01	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.8 or newer	lsm_list_modules01 lsm_list_modules01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
789	lsm_list_modules02	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.8 or newer	lsm_list_modules02 lsm_list_modules02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
790	lsm_set_self_attr01	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.8 or newer	lsm_set_self_attr01 lsm_set_self_attr01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
806	mbind02	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/mm/numa.html	mbind02.c:37: TCONF: Test requires at least two NUMA memory nodes	mbind02 mbind02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
807	mbind03	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/mm/numa.html	mbind03.c:34: TCONF: Test requires at least two NUMA memory nodes	mbind03 mbind03	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
808	mbind04	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/mm/numa.html	mbind04.c:36: TCONF: Test requires at least two NUMA memory nodes	mbind04 mbind04	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
815	migrate_pages02	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	migrate_pages02.c:274: TCONF: at least 2 allowed NUMA nodes are required	migrate_pages02 migrate_pages02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
816	migrate_pages03	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	migrate_pages03.c:59: TCONF: requires NUMA with at least 2 node	migrate_pages03 migrate_pages03	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
877	mmap22	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	mmap22.c:105: TCONF: MAP_DROPPABLE not supported	mmap22 mmap22	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
879	modify_ldt01	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1417: TCONF: This arch 'unknown' is not supported for test!	modify_ldt01 modify_ldt01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
880	modify_ldt02	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1417: TCONF: This arch 'unknown' is not supported for test!	modify_ldt02 modify_ldt02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
889	mount08	TFAIL	kernel_regression	requires_kernel_fix_or_backport	https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=d80b065bb172	mount08.c:40: TFAIL: mount(/proc/6/fd/4) succeeded	mount08 mount08	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
898	move_pages01	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	move_pages01 1 TCONF : move_pages_support.c:407: at least 2 allowed NUMA nodes are required	move_pages01 move_pages01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
899	move_pages02	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	move_pages02 1 TCONF : move_pages_support.c:407: at least 2 allowed NUMA nodes are required	move_pages02 move_pages02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
900	move_pages03	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	move_pages03 1 TCONF : move_pages_support.c:407: at least 2 allowed NUMA nodes are required	move_pages03 move_pages03	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
901	move_pages04	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	move_pages_support.c:407: TCONF: at least 2 allowed NUMA nodes are required	move_pages04 move_pages04	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
902	move_pages05	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	move_pages05 1 TCONF : move_pages_support.c:407: at least 2 allowed NUMA nodes are required	move_pages05 move_pages05	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
903	move_pages06	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	move_pages06 1 TCONF : move_pages_support.c:407: at least 2 allowed NUMA nodes are required	move_pages06 move_pages06	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
904	move_pages07	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	move_pages07 1 TCONF : move_pages_support.c:407: at least 2 allowed NUMA nodes are required	move_pages07 move_pages07	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
905	move_pages09	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	move_pages09 1 TCONF : move_pages_support.c:407: at least 2 allowed NUMA nodes are required	move_pages09 move_pages09	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
906	move_pages10	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	move_pages10 1 TCONF : move_pages_support.c:407: at least 2 allowed NUMA nodes are required	move_pages10 move_pages10	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
907	move_pages11	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	move_pages11 1 TCONF : move_pages_support.c:407: at least 2 allowed NUMA nodes are required	move_pages11 move_pages11	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
908	move_pages12	TCONF	topology_limit	record_platform_limit	https://docs.kernel.org/mm/numa.html	move_pages_support.c:407: TCONF: at least 2 allowed NUMA nodes are required	move_pages12 move_pages12	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
916	pkey01	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	../../../../include/lapi/pkey.h:43: TCONF: syscall(289) __NR_pkey_alloc not supported on your arch	pkey01 pkey01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
934	mseal01	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	mseal01.c:40: TCONF: syscall(-1) __NR_mseal not supported on your arch	mseal01 mseal01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
935	mseal02	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	mseal02.c:47: TCONF: syscall(-1) __NR_mseal not supported on your arch	mseal02 mseal02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
941	msgctl05	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1414: TCONF: test requires struct msqid64_ds to have the time_high fields	msgctl05 msgctl05	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
986	name_to_handle_at03	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	name_to_handle_at03.c:35: TCONF: AT_HANDLE_CONNECTABLE not supported by the kernel.	name_to_handle_at03 name_to_handle_at03	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1037	madvise07	TCONF	kernel_config_or_policy	inspect_kernel_or_guest_setup	https://docs.kernel.org/kbuild/kconfig.html	madvise07.c:57: TCONF: CONFIG_MEMORY_FAILURE probably not set in kconfig: EINVAL (22)	madvise07 madvise07	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1041	madvise11	TCONF	kernel_config_or_policy	inspect_kernel_or_guest_setup	https://docs.kernel.org/kbuild/kconfig.html	tst_test.c:1453: TCONF: Aborting due to unsuitable kernel config, see above!	madvise11 madvise11	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1042	madvise12	TCONF	kernel_version_limit	record_platform_limit	https://docs.kernel.org/	tst_test.c:1080: TCONF: The test requires kernel 6.13 or newer	madvise12 madvise12	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1114	prctl10	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1417: TCONF: This arch 'unknown' is not supported for test!	prctl10 prctl10	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1160	ptrace04	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	ptrace04 1 TCONF : ptrace04.c:103: test not supported for your arch (yet)	ptrace04 ptrace04	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1163	ptrace07	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1414: TCONF: Tests an x86_64 feature	ptrace07 ptrace07	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1164	ptrace08	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1417: TCONF: This arch 'unknown' is not supported for test!	ptrace08 ptrace08	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1165	ptrace09	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1417: TCONF: This arch 'unknown' is not supported for test!	ptrace09 ptrace09	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1166	ptrace10	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1417: TCONF: This arch 'unknown' is not supported for test!	ptrace10 ptrace10	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1210	readdir21	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	readdir21.c:69: TCONF: syscall(-1) __NR_readdir not supported on your arch	readdir21 readdir21	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1224	reboot01	TFAIL	container_pid_namespace	retained_isolation_limit	https://github.com/torvalds/linux/blob/v6.6/kernel/pid_namespace.c#L319-L343	reboot01.c:32: TFAIL: reboot(LINUX_REBOOT_CMD_CAD_ON) failed: EINVAL (22)	reboot01 reboot01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1288	sbrk03	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1417: TCONF: This arch 'unknown' is not supported for test!	sbrk03 sbrk03	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1340	semctl08	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1414: TCONF: test requires struct semid64_ds to have the time_high fields	semctl08 semctl08	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1385	set_mempolicy01	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/mm/numa.html	set_mempolicy01.c:37: TCONF: Test requires at least two NUMA memory nodes	set_mempolicy01 set_mempolicy01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1386	set_mempolicy02	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/mm/numa.html	set_mempolicy02.c:38: TCONF: Test requires at least two NUMA memory nodes	set_mempolicy02 set_mempolicy02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1387	set_mempolicy03	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/mm/numa.html	set_mempolicy03.c:36: TCONF: Test requires at least two NUMA memory nodes	set_mempolicy03 set_mempolicy03	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1388	set_mempolicy04	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/mm/numa.html	set_mempolicy04.c:49: TCONF: Test requires at least two NUMA memory nodes	set_mempolicy04 set_mempolicy04	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1391	set_thread_area01	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1417: TCONF: This arch 'unknown' is not supported for test!	set_thread_area01 set_thread_area01	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1392	set_thread_area02	TCONF	feature_or_policy_limit	inspect_feature_support	https://docs.kernel.org/arch/riscv/index.html	tst_test.c:1417: TCONF: This arch 'unknown' is not supported for test!	set_thread_area02 set_thread_area02	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1400	setfsgid01_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/setfsgid/../utils/compat_tst_16.h:119: TCONF: 16-bit version of setfsgid() is not supported on your platform	setfsgid01_16 setfsgid01_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1402	setfsgid02_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/setfsgid/../utils/compat_tst_16.h:119: TCONF: 16-bit version of setfsgid() is not supported on your platform	setfsgid02_16 setfsgid02_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1404	setfsgid03_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	setfsgid03_16 1 TCONF : ${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/setfsgid/../utils/compat_16.h:122: 16-bit version of setfsgid() is not supported on your platform	setfsgid03_16 setfsgid03_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1407	setfsuid01_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/setfsuid/../utils/compat_tst_16.h:114: TCONF: 16-bit version of setfsuid() is not supported on your platform	setfsuid01_16 setfsuid01_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
1409	setfsuid02_16	TCONF	architecture_limit	record_platform_limit	https://docs.kernel.org/arch/riscv/index.html	${NACC_ROOT}/chipyard/software/firemarshal/boards/default/distros/br/buildroot/output/build/ltp-testsuite-custom/testcases/kernel/syscalls/setfsuid/../utils/compat_tst_16.h:114: TCONF: 16-bit version of setfsuid() is not supported on your platform	setfsuid02_16 setfsuid02_16	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-results.tsv	results/20260824T013104Z-firemarshal-qemu-br-crun-ltp-0/nacc-ltp-crun-cumulative-environment.tsv
